N° Factura,Archivo Fuente,Concepto,Dato Medida (Paréntesis),Gasto Real (CLP)
25832880,Mayo 2022 - VOGT.json,Dem Max.,"94,500kW",124.843
25832880,Mayo 2022 - VOGT.json,Saldo Anterior,,2.692.072
25832880,Mayo 2022 - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: 106-0119-0981,,
25832880,Mayo 2022 - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: 5.477.062,,
25832880,Mayo 2022 - VOGT.json,Total I.V.A.,19%,361.146
25832880,Mayo 2022 - VOGT.json,Monto Exento,,11.583
25832880,Mayo 2022 - VOGT.json,Monto Total,,2.273.497
25832880,Mayo 2022 - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: Verifique documento www.sii.cl,,
25832880,Mayo 2022 - VOGT.json,Total a Pagar,,3.203.565
25832880,Mayo 2022 - VOGT.json,Suma Gasto Real (Calculada),,2.273.497
25832880,Mayo 2022 - VOGT.json,Dato Real (Extraído de JSON),,2.273.497
25832880,Mayo 2022 - VOGT.json,Diferencia Suma vs Real,,0
26757988,Nov 2022 - VOGT.json,"⚠️ LÍNEA NO RECONOCIDA: 0000082475   Compañía   300,00   81568,000         81710,000",,
26757988,Nov 2022 - VOGT.json,Administración del servicio,,669
26757988,Nov 2022 - VOGT.json,Electricidad Consumida,42600kWh,2.678.142
26757988,Nov 2022 - VOGT.json,Cargo por Servicio Público,,21.641
26757988,Nov 2022 - VOGT.json,Transporte de electricidad,,528.410
26757988,Nov 2022 - VOGT.json,Arriendo Medidor,,29.066
26757988,Nov 2022 - VOGT.json,Dem. Horas punta,"88,500kW",466.979
26757988,Nov 2022 - VOGT.json,Dem Max.,"183,000kW",241.760
26757988,Nov 2022 - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: 106-0119-0981,,
26757988,Nov 2022 - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: 4.716.222,,
26757988,Nov 2022 - VOGT.json,Total I.V.A.,19%,749.555
26757988,Nov 2022 - VOGT.json,Monto Exento,,21.641
26757988,Nov 2022 - VOGT.json,Monto Total,,4.716.222
26757988,Nov 2022 - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: N° 11T del 24/08/2017,,
26757988,Nov 2022 - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: Verifique documento www.sii.cl,,
26757988,Nov 2022 - VOGT.json,Total a Pagar,,4.716.222
26757988,Nov 2022 - VOGT.json,Suma Gasto Real (Calculada),,4.716.222
26757988,Nov 2022 - VOGT.json,Dato Real (Extraído de JSON),,4.716.222
26757988,Nov 2022 - VOGT.json,Diferencia Suma vs Real,,0
29324155,Nov 2023 - VOGT.json,"⚠️ LÍNEA NO RECONOCIDA: 0011268624   Compañía   1000,00   220,196          259,529  ",,
29324155,Nov 2023 - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: 7-/-0/2024,,
29324155,Nov 2023 - VOGT.json,Electricidad Consumida,39333kWh,104.626
29324155,Nov 2023 - VOGT.json,Dem.Horas Punta PDx,"97,500kW",25.760
29324155,Nov 2023 - VOGT.json,Demanda Max. Sumi. PDx,"247,000kW",326.309
29324155,Nov 2023 - VOGT.json,Multa por consumo reactivo,,4.556
29324155,Nov 2023 - VOGT.json,Cargo Fijo Mensual PDx,,669
29324155,Nov 2023 - VOGT.json,Intereses de Mora,,110.813
29324155,Nov 2023 - VOGT.json,"⚠️ LÍNEA NO RECONOCIDA: 143,0        0,0        1338543-2",,
29324155,Nov 2023 - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: 126-0617-7947,,
29324155,Nov 2023 - VOGT.json,Total Monto Neto,,572.733
29324155,Nov 2023 - VOGT.json,Total I.V.A.,19%,108.819
29324155,Nov 2023 - VOGT.json,Monto Total,,681.552
29324155,Nov 2023 - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: %&' å33I}S(((.y_<<(((ç,,
29324155,Nov 2023 - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: Verifique documento www.sii.cl,,
29324155,Nov 2023 - VOGT.json,Total a Pagar,,681.552
29324155,Nov 2023 - VOGT.json,Suma Gasto Real (Calculada),,681.552
29324155,Nov 2023 - VOGT.json,Dato Real (Extraído de JSON),,681.552
29324155,Nov 2023 - VOGT.json,Diferencia Suma vs Real,,0
26580290,Oct 2022 - VOGT.json,"⚠️ LÍNEA NO RECONOCIDA: 0000082475   Compañía   300,00   81440,000         81568,000",,
26580290,Oct 2022 - VOGT.json,Administración del servicio,,668
26580290,Oct 2022 - VOGT.json,Electricidad Consumida,38400kWh,2.414.101
26580290,Oct 2022 - VOGT.json,Cargo por Servicio Público,,19.507
26580290,Oct 2022 - VOGT.json,Transporte de electricidad,,476.315
26580290,Oct 2022 - VOGT.json,Arriendo Medidor,,28.707
26580290,Oct 2022 - VOGT.json,Dem. Horas punta,"88,500kW",77.830
26580290,Oct 2022 - VOGT.json,Dem Max.,"183,000kW",241.760
26580290,Oct 2022 - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: 106-0119-0981,,
26580290,Oct 2022 - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: 3.874.370,,
26580290,Oct 2022 - VOGT.json,Total I.V.A.,19%,615.482
26580290,Oct 2022 - VOGT.json,Monto Exento,,19.507
26580290,Oct 2022 - VOGT.json,Monto Total,,3.874.370
26580290,Oct 2022 - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: N° 11T del 24/08/2017,,
26580290,Oct 2022 - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: Verifique documento www.sii.cl,,
26580290,Oct 2022 - VOGT.json,Total a Pagar,,3.874.370
26580290,Oct 2022 - VOGT.json,Suma Gasto Real (Calculada),,3.874.370
26580290,Oct 2022 - VOGT.json,Dato Real (Extraído de JSON),,3.874.370
26580290,Oct 2022 - VOGT.json,Diferencia Suma vs Real,,0
29149775,Octubre 2023 - VOGT.json,"⚠️ LÍNEA NO RECONOCIDA: 0011268624   Compañía   1000,00   181,292   220,196         ",,
29149775,Octubre 2023 - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: 7-/-0/2024,,
29149775,Octubre 2023 - VOGT.json,Electricidad Consumida,38904kWh,103.485
29149775,Octubre 2023 - VOGT.json,Dem.Horas Punta PDx,"97,500kW",25.760
29149775,Octubre 2023 - VOGT.json,Demanda Max. Sumi. PDx,"247,000kW",326.309
29149775,Octubre 2023 - VOGT.json,Multa por consumo reactivo,,4.708
29149775,Octubre 2023 - VOGT.json,Cargo Fijo Mensual PDx,,669
29149775,Octubre 2023 - VOGT.json,"⚠️ LÍNEA NO RECONOCIDA: 150,0        0,0    1338543-2",,
29149775,Octubre 2023 - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: 126-0617-7947,,
29149775,Octubre 2023 - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: Corte a partir del 03/12/2023,,
29149775,Octubre 2023 - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: 4.518.466,,
29149775,Octubre 2023 - VOGT.json,Total Monto Neto,,460.931
29149775,Octubre 2023 - VOGT.json,Total I.V.A.,19%,87.577
29149775,Octubre 2023 - VOGT.json,Monto Total,,548.508
29149775,Octubre 2023 - VOGT.json,Saldo anterior,,3.969.958
29149775,Octubre 2023 - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: %&' å33I}S(((U:Vd<(((ç,,
29149775,Octubre 2023 - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: Verifique documento www.sii.cl,,
29149775,Octubre 2023 - VOGT.json,Total a Pagar,,4.518.466
29149775,Octubre 2023 - VOGT.json,Suma Gasto Real (Calculada),,548.508
29149775,Octubre 2023 - VOGT.json,Dato Real (Extraído de JSON),,548.508
29149775,Octubre 2023 - VOGT.json,Diferencia Suma vs Real,,0
26388503,Sep 2022 - VOGT.json,"⚠️ LÍNEA NO RECONOCIDA: 0000082475   Compañía   300,00   81279,000         81440,000",,
26388503,Sep 2022 - VOGT.json,Administración del servicio,,669
26388503,Sep 2022 - VOGT.json,Electricidad Consumida,48300kWh,3.036.486
26388503,Sep 2022 - VOGT.json,Cargo por Servicio Público,,24.537
26388503,Sep 2022 - VOGT.json,Transporte de electricidad,,599.113
26388503,Sep 2022 - VOGT.json,Arriendo Medidor,,28.393
26388503,Sep 2022 - VOGT.json,Dem. Horas punta,"99,000kW",522.383
26388503,Sep 2022 - VOGT.json,Dem Max.,"175,500kW",231.852
26388503,Sep 2022 - VOGT.json,Multa por consumo reactivo,,140.090
26388503,Sep 2022 - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: 106-0119-0981,,
26388503,Sep 2022 - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: 5.449.730,,
26388503,Sep 2022 - VOGT.json,Total I.V.A.,19%,866.207
26388503,Sep 2022 - VOGT.json,Monto Exento,,24.537
26388503,Sep 2022 - VOGT.json,Monto Total,,5.449.730
26388503,Sep 2022 - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: Verifique documento www.sii.cl,,
26388503,Sep 2022 - VOGT.json,Total a Pagar,,5.449.730
26388503,Sep 2022 - VOGT.json,Suma Gasto Real (Calculada),,5.449.730
26388503,Sep 2022 - VOGT.json,Dato Real (Extraído de JSON),,5.449.730
26388503,Sep 2022 - VOGT.json,Diferencia Suma vs Real,,0
29118912,Sep 2023 - VOGT.json,"⚠️ LÍNEA NO RECONOCIDA: 0011268624   Compañía   1000,00   135,805   181,292         ",,
29118912,Sep 2023 - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: 7-/-0/2024,,
29118912,Sep 2023 - VOGT.json,Electricidad Consumida,45487kWh,120.995
29118912,Sep 2023 - VOGT.json,Dem.Horas Punta PDx,"89,000kW",23.515
29118912,Sep 2023 - VOGT.json,Demanda Max. Sumi. PDx,"247,000kW",326.309
29118912,Sep 2023 - VOGT.json,Intereses de Mora,,76.020
29118912,Sep 2023 - VOGT.json,Cargo Fijo Mensual PDx,,669
29118912,Sep 2023 - VOGT.json,"⚠️ LÍNEA NO RECONOCIDA: 155,0        89,0    1338543-2",,
29118912,Sep 2023 - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: 126-0617-7947,,
29118912,Sep 2023 - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: Corte a partir del 03/12/2023,,
29118912,Sep 2023 - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: 3.969.958,,
29118912,Sep 2023 - VOGT.json,Total Monto Neto,,547.508
29118912,Sep 2023 - VOGT.json,Total I.V.A.,19%,104.027
29118912,Sep 2023 - VOGT.json,Monto Total,,651.535
29118912,Sep 2023 - VOGT.json,Saldo anterior,,3.318.423
29118912,Sep 2023 - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: %&' å33I}S(((Omáx<(((ç,,
29118912,Sep 2023 - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: Verifique documento www.sii.cl,,
29118912,Sep 2023 - VOGT.json,Total a Pagar,,3.969.958
29118912,Sep 2023 - VOGT.json,Suma Gasto Real (Calculada),,651.535
29118912,Sep 2023 - VOGT.json,Dato Real (Extraído de JSON),,651.535
29118912,Sep 2023 - VOGT.json,Diferencia Suma vs Real,,0
